[2026-05-27 16:20:49] [INFO] === KCDW 모니터링 시스템 기동 ===
[2026-05-27 16:20:49] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:20:49] [INFO] 자체 서명 SSL 인증서가 존재하지 않아 자동 생성을 시작합니다...
[2026-05-27 16:20:49] [INFO] SSL 인증서(private.key / cert.crt) 자동 생성 완료
[2026-05-27 16:20:49] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:20:49] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:21:00] [INFO] 실행 중 - PID: 35884, 프로세스명: python.exe, 메모리 점유: 202.74 MB
[2026-05-27 16:21:29] [INFO] === KCDW 모니터링 시스템 기동 ===
[2026-05-27 16:21:29] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:21:29] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:21:29] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:21:39] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 203.60 MB
[2026-05-27 16:21:49] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 203.60 MB
[2026-05-27 16:21:59] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 203.60 MB
[2026-05-27 16:22:10] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 206.52 MB
[2026-05-27 16:22:20] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 235.93 MB
[2026-05-27 16:22:30] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 235.90 MB
[2026-05-27 16:22:41] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 235.90 MB
[2026-05-27 16:22:51] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 236.02 MB
[2026-05-27 16:23:01] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 235.98 MB
[2026-05-27 16:23:11] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 235.98 MB
[2026-05-27 16:23:21] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 235.98 MB
[2026-05-27 16:23:32] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 235.96 MB
[2026-05-27 16:23:42] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.84 MB
[2026-05-27 16:23:52] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:24:03] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:24:13] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:24:23] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:24:33] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:24:43] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:24:53] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:25:04] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:25:14] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
[2026-05-27 16:25:24] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.80 MB
